,0
Peixao,437
Peneireiro,438
Pernica,439
Persch,440
Persimmon,441
Peto Jezero,442
Pfaffikon,443
Pfsarrsee,444
Picciola,445
Pine Grove,446
Pineland,447
Plaas aan de Reeweg,448
Placid,449
Platinsee,450
Plauersee,451
Pniewskie,452
Podkamycze_1,453
Podkamycze_2,454
Podkowka,455
Polemidia,456
Ponikve,457
Powsinkowskie,458
Poyrazlar,459
Prebelowsee,460
Prespa,461
Probarskie,462
Prosce,463
Punchbowl,464
Put Van Drunen,465
RED DEER LAKE EUPHOTIC,466
REESOR LAKE RESERVOIR,467
Raczynskie,468
Raigastvere,469
Red Beach,470
Redonda,471
Redykajny,472
Rekyva,473
Ribarroja Reservoir,474
Ribbon North,475
Roblinsee,476
Rock,477
Rogozinskie,478
Roofensee,479
Ros,480
Royal Palm,481
Ruda Woda,482
Rusalka,483
Rynskie,484
SANDY LAKE - SOUTH BASIN,485
SASKATOON LAKE,486
SHORNCLIFFE LAKE,487
SILER (STONEY) LAKE,488
SKELETON LAKE - NORTH BASIN,489
SKELETON LAKE - SOUTH BASIN,490
SPRUCE COULEE RESERVOIR,491
STEELE (CROSS) LAKE,492
STURGEON LAKE - MAIN BASIN,493
SYLVAN LAKE,494
Saadjarv,495
Sabanozu,496
Saebyvannet,497
Sakadas,498
Sampson,499
Santa Fe,500
Saraykoy,501
Sau,502
Savica,503
Sawmill,504
Saxon North,505
Saxon South,506
Scharmutzelsee,507
Schlabornsee,508
Schwedtsee,509
Secret,510
Sellers,511
Sempacher,512
Sepond_1,513
Sepond_2,514
Sera,515
Serra Serrada,516
Serraia,517
Sestroretskij Razliv,518
Seydi,519
Seyhan,520
Siemianowka,521
Silver,522
Simenit,523
Simnas,524
Sitvys,525
Skanda,526
Ski Watch,527
Skulerudsjoen,528
Slaen,529
Sloterplas,530
Small,531
Sobrado,532
Sobron Resrbvoir,533
Sopen,534
Stadtsee,535
Starodworskie,536
Stechlinsee,537
Stick Marsh,538
Stolpsee,539
Stone,540
Stooterplas,541
Stortrasket,542
Strandsjon,543
Strykowskie,544
Strzeszynskie,545
Suggs,546
Sugla,547
Sulejow,548
Sumin,549
Summerset,550
Sunset,551
Susan,552
Susannah,553
Suzdal,554
Swarzndzkie,555
Syczynskie,556
Szurpily,557
THUNDER LAKE,558
TUCKER LAKE,559
TYRRELL LAKE,560
Talksa,561
Tallavana,562
Taskisigi,563
Tatli,564
Templehouse,565
Tercan,566
Theresa,567
Tiger,568
Timber,569
Tiwarensee,570
Tohopekaliga East,571
Tohopekaliga Middle,572
Tohopekaliga North,573
Tomaszne,574
Tortum,575
Tovel,576
Track,577
Tribali,578
Trout,579
Tsala Apopka,580
Tunevannet,581
Twin,582
Tyniec_1,583
Tyniec_2,584
Tyrsko,585
UPPER KANANASKIS LAKE,586
Udrija,587
Ukiel_1,588
Ukiel_2,589
Ukiel_3,590
Ukiel_4,591
Uluabat,592
Ulugol-Mesudiye,593
Unity,594
Uzarzewskie,595
Uzungol,596
Valdecanas,597
Vallentunasjon,598
Vallfornes,599
Valloxen,600
Valrico,601
Vanajanselka,602
Vansjo-Storefjorden,603
Vansjo-Vanemfjorden,604
Velencei,605
Velke Dako,606
Verevijarv,607
Vinne,608
Volvi,609
Vombsjon,610
Vortsjarv,611
Vransko,612
WABAMUN LAKE - EAST BASIN,613
WABAMUN LAKE - WEST BASIN,614
WAKOMOA LAKE,615
WAPASU LAKE,616
WHITEFISH LAKE,617
WINAGAMI LAKE,618
WIZARD LAKE,619
WOLF LAKE,620
Wales,621
Wanzkaersee,622
Wauberg,623
Waumpi,624
Weohyakapka,625
Westbroekplas,626
Wildcat,627
Willow,628
Windermere,629
Windermere North Basin,630
Windermere South Basin,631
Winnemissett,632
Winnott,633
Wittwesee,634
Wolnica,635
Wurlsee,636
Wylerbergmeer,637
Wynnfield,638
Yenicaga,639
Yvette,640
Zamolyi,641
Zemborzycki,642
Zemplinska,643
Zurich,644
